Z,element,sigma,epsilon
1,H,2.571,0.184
2,He,2.104,0.234
3,Li,2.184,0.105
4,Be,2.446,0.356
5,B,3.638,0.754
6,C,3.431,0.440
7,N,3.261,0.289
8,O,3.118,0.251
9,F,2.997,0.210
10,Ne,3.243,0.234
11,Na,2.658,0.126
12,Mg,2.691,0.465
13,Al,4.008,2.115
14,Si,3.826,1.684
15,P,3.695,1.278
16,S,3.595,1.148
17,Cl,3.516,0.951
18,Ar,3.446,0.775
19,K,4.230,0.335
20,Ca,3.830,0.418
21,Sc,3.400,0.084
22,Ti,3.350,0.084
23,V,3.300,0.084
24,Cr,3.250,0.084
25,Mn,3.200,0.084
26,Fe,2.935,0.105
27,Co,2.880,0.088
28,Ni,2.750,0.071
29,Cu,2.650,0.100
30,Zn,3.120,0.167
31,Ga,4.200,0.251
32,Ge,4.050,0.335
33,As,3.950,0.418
34,Se,3.850,0.502
35,Br,3.700,0.879
36,Kr,3.710,1.420
37,Rb,4.600,0.335
38,Sr,4.300,0.418
39,Y,3.900,0.084
40,Zr,3.800,0.084
41,Nb,3.750,0.084
42,Mo,3.700,0.084
43,Tc,3.650,0.084
44,Ru,3.600,0.084
45,Rh,3.550,0.084
46,Pd,3.500,0.084
47,Ag,3.450,0.084
48,Cd,3.400,0.167
49,In,4.400,0.251
50,Sn,4.300,0.335
51,Sb,4.200,0.418
52,Te,4.100,0.502
53,I,4.000,0.879
54,Xe,4.050,1.920
55,Cs,4.900,0.335
56,Ba,4.600,0.418
57,La,4.000,0.100
58,Ce,3.950,0.100
59,Pr,3.930,0.100
60,Nd,3.900,0.100
61,Pm,3.880,0.100
62,Sm,3.860,0.100
63,Eu,3.840,0.100
64,Gd,3.820,0.100
65,Tb,3.800,0.100
66,Dy,3.780,0.100
67,Ho,3.760,0.100
68,Er,3.740,0.100
69,Tm,3.720,0.100
70,Yb,3.700,0.100
71,Lu,3.680,0.100
72,Hf,3.650,0.084
73,Ta,3.620,0.084
74,W,3.590,0.084
75,Re,3.570,0.084
76,Os,3.550,0.084
77,Ir,3.530,0.084
78,Pt,3.510,0.084
79,Au,3.490,0.084
80,Hg,3.470,0.167
81,Tl,4.450,0.251
82,Pb,4.400,0.335
83,Bi,4.350,0.418
84,Po,4.300,0.502
85,At,4.250,0.628
86,Rn,4.200,1.255
87,Fr,5.000,0.335
88,Ra,4.700,0.418
89,Ac,4.100,0.100
90,Th,4.050,0.100
91,Pa,4.000,0.100
92,U,3.950,0.100
93,Np,3.900,0.100
94,Pu,3.850,0.100
95,Am,3.850,0.100
96,Cm,3.850,0.100
97,Bk,3.850,0.100
98,Cf,3.850,0.100
99,Es,3.500,1.255
100,Fm,3.450,1.380
101,Md,3.400,1.464
102,No,3.350,1.548
103,Lr,3.300,1.130
104,Rf,3.700,0.084
105,Db,3.680,0.084
106,Sg,3.660,0.084
107,Bh,3.640,0.084
108,Hs,3.620,0.084
109,Mt,3.600,0.084
110,Ds,3.580,0.084
111,Rg,3.560,0.084
112,Cn,3.540,0.167
113,Nh,4.500,0.251
114,Fl,4.450,0.335
115,Mc,4.400,0.418
116,Lv,4.350,0.502
117,Ts,4.300,0.628
118,Og,4.250,0.836
0,Default,2.50,0.1255
