bond,D,alpha,r0
H-H,436,1.94,0.74
H-O,458,2.20,0.96
O-O,210,2.15,1.45
O=O,498,2.42,1.20
N-H,338,2.00,1.01
N#N,943,2.50,1.10
N-O,347,2.10,1.20
C-H,413,1.90,1.09
C-C,694,2.00,1.44
C=C,618,2.00,1.34
C#C,839,2.50,1.20
C-O,357,1.80,1.43
C=O,676,2.20,1.23
C-N,309,1.70,1.47
C#N,743,2.30,1.16
S-H,347,1.60,1.34
S-S,386,1.50,2.05
P-H,338,1.50,1.42
P-O,482,2.00,1.63
Si-H,318,1.40,1.48
Si-O,444,2.10,1.62
Na-Cl,405,1.20,2.36
K-Cl,386,1.10,2.67
Cl-Cl,241,1.80,1.99
F-F,154,2.00,1.42
Br-Br,193,1.60,2.28
I-I,164,1.40,2.67
Li-H,240,1.30,1.60
Be-H,320,1.50,1.34
B-H,330,1.70,1.20
C-F,485,2.50,1.35
C-Cl,330,2.00,1.77
C-Br,280,1.80,1.94
C-I,240,1.60,2.14
Si-Si,230,1.40,2.35
Si-C,360,1.70,1.89
Si-N,430,1.90,1.74
Si-S,320,1.60,2.05
P-P,200,1.20,2.21
P-N,290,1.50,1.70
P-S,280,1.40,2.10
S-O,520,2.10,1.48
S=O,550,2.30,1.45
Cl-O,200,1.60,1.70
Cl-N,250,1.70,1.75
F-O,190,1.80,1.60
Xe-F,130,1.40,2.00
